player_id;timestamp;level_number
1;2018-09-28 06:52:07;1
1;2018-09-28 10:27:25;2
1;2018-09-29 09:51:11;3
1;2018-10-02 09:52:41;4
1;2018-10-02 19:57:55;5
1;2018-10-05 08:26:27;6
1;2018-10-06 10:58:21;7
1;2018-10-06 17:46:52;8
1;2018-10-07 06:00:23;9
1;2018-10-08 16:41:31;7
1;2018-10-08 19:33:23;8
1;2018-10-09 01:51:30;9
1;2018-10-12 11:45:47;10
1;2018-10-18 17:29:58;11
1;2018-10-23 02:29:09;12
1;2018-10-25 04:33:32;13
3;2018-08-19 09:47:18;1
3;2018-08-21 18:13:40;2
3;2018-08-24 18:57:05;3
3;2018-08-26 03:51:00;4
3;2018-08-27 19:52:09;5
4;2018-07-12 14:15:03;1
4;2018-07-12 14:24:26;2
4;2018-07-12 20:02:58;3
4;2018-07-13 17:57:49;4
4;2018-07-13 21:33:28;5
4;2018-07-14 09:19:32;6
4;2018-07-14 11:32:31;7
4;2018-07-14 19:32:13;8
4;2018-07-15 08:10:20;9
4;2018-07-16 05:29:32;7
4;2018-07-16 21:56:52;8
4;2018-07-16 22:34:26;9
4;2018-07-17 10:15:27;10
4;2018-07-17 10:55:23;11
4;2018-07-18 08:44:47;12
4;2018-07-18 10:42:53;13
4;2018-07-19 02:26:47;14
4;2018-07-19 10:13:37;15
4;2018-07-21 18:50:25;16
4;2018-07-22 22:07:36;17
4;2018-07-25 06:58:50;18
4;2018-07-25 08:54:12;19
4;2018-07-25 18:03:33;20
4;2018-07-27 14:34:41;21
4;2018-07-28 07:57:41;22
4;2018-07-29 14:50:02;23
4;2018-07-29 17:58:52;24
4;2018-07-30 05:17:57;25
4;2018-08-01 13:50:50;26
4;2018-08-02 19:39:20;27
4;2018-08-04 01:34:05;28
5;2018-09-27 04:03:33;1
5;2018-09-27 04:39:09;2
5;2018-09-27 07:11:42;3
5;2018-09-28 02:24:56;4
5;2018-09-28 07:07:05;5
5;2018-09-28 20:57:05;6
5;2018-09-29 05:34:42;7
6;2018-08-29 13:37:36;1
6;2018-09-13 03:25:31;2
8;2018-10-02 23:41:37;1
8;2018-10-03 00:00:56;2
8;2018-10-04 05:04:30;3
8;2018-10-04 19:54:47;4
8;2018-10-07 08:09:53;5
8;2018-10-09 11:33:33;6
8;2018-10-14 03:09:10;7
8;2018-10-14 16:32:53;8
8;2018-10-15 02:01:15;9
8;2018-10-15 08:52:35;10
8;2018-10-16 07:12:37;11
8;2018-10-18 16:52:13;12
8;2018-10-20 11:02:23;13
8;2018-10-24 02:12:18;14
8;2018-10-25 09:23:09;15
8;2018-10-27 05:30:29;16
8;2018-10-28 03:37:27;17
8;2018-10-31 05:10:45;18
8;2018-10-31 07:48:39;19
9;2018-09-07 05:23:13;1
9;2018-09-07 15:19:45;2
9;2018-09-07 20:42:23;3
9;2018-09-08 05:52:53;4
