player_id;timestamp
1;2018-09-27 20:08:39
2;2018-05-12 01:55:20
3;2018-08-19 09:23:40
4;2018-07-12 14:11:04
5;2018-09-26 19:11:53
6;2018-07-09 00:16:36
7;2018-06-15 07:59:14
8;2018-10-02 15:11:45
9;2018-09-06 22:16:29
10;2018-08-12 17:08:49
11;2018-09-28 03:31:15
12;2018-10-28 04:00:09
13;2018-09-26 06:05:14
14;2018-05-11 02:54:29
15;2018-10-17 07:52:17
16;2018-08-16 03:39:13
17;2018-09-27 20:57:18
18;2018-07-03 10:37:18
19;2018-09-13 01:08:24
20;2018-08-15 22:58:29
21;2018-07-10 12:15:28
22;2018-06-07 09:19:32
23;2018-06-15 16:06:38
24;2018-08-27 22:37:23
25;2018-07-15 14:16:44
26;2018-10-25 12:57:45
27;2018-06-26 18:08:06
28;2018-10-29 13:00:12
29;2018-09-25 14:41:39
30;2018-09-09 09:41:10
31;2018-07-08 19:10:35
32;2018-05-19 09:35:55
33;2018-08-15 15:07:58
34;2018-07-25 13:08:44
35;2018-07-17 13:13:22
36;2018-09-20 21:00:14
37;2018-05-15 03:44:11
38;2018-10-15 18:21:13
39;2018-09-01 19:29:00
40;2018-05-24 22:03:49
41;2018-09-17 08:35:14
42;2018-08-12 11:50:17
43;2018-11-03 08:15:00
44;2018-10-03 14:33:52
45;2018-09-21 20:04:10
46;2018-05-29 03:30:38
47;2018-11-02 11:38:08
48;2018-07-22 06:22:44
49;2018-05-22 15:30:57
50;2018-10-22 14:45:46
51;2018-11-02 00:03:42
52;2018-06-29 01:49:28
53;2018-09-25 19:40:27
54;2018-06-19 16:23:13
55;2018-08-27 14:02:23
56;2018-06-11 17:07:22
57;2018-10-19 07:22:22
58;2018-08-26 01:45:56
59;2018-05-20 04:31:37
60;2018-10-04 17:51:24
61;2018-10-19 08:08:12
62;2018-05-27 20:33:54
63;2018-07-03 10:47:17
64;2018-09-06 03:43:28
65;2018-05-08 10:49:51
66;2018-09-28 03:44:18
67;2018-08-13 14:51:08
68;2018-07-21 11:15:27
69;2018-10-21 09:25:56
70;2018-10-03 22:19:39
71;2018-09-21 04:30:50
72;2018-07-26 15:38:54
73;2018-08-23 17:27:50
74;2018-10-09 01:43:48
75;2018-10-01 06:35:36
76;2018-10-16 03:58:35
77;2018-06-12 15:01:15
78;2018-07-12 16:18:09
79;2018-08-14 16:16:36
80;2018-10-26 09:16:46
81;2018-06-19 13:49:28
82;2018-05-22 03:42:02
